ID,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21
A01,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
A02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
A03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
A04,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
A05,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
A06,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
A07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A10,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
A11,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0
A12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
A13,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A15,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
A16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A17,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1
A18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A19,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0
A20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
A21,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
